S.No,District,,,
1,Jhapa ,,,
2,Ilam ,,,
3,Panchthar ,,,
4,Taplejung ,,,
5,Morang ,,,
6,Sunsari ,,,
7,Bhojpur ,,,
8,Dhankuta ,,,
9,Terhathum ,,,
10,Sankhuwasabha ,,,
11,Saptari ,,,
12,Siraha ,,,
13,Udayapur ,,,
14,Khotang ,,,
15,Okhaldhunga ,,,
16,Solukhumbu ,,,
17,Dhanusa ,,,
18,Mahottari ,,,
19,Sarlahi ,,,
20,Sindhuli ,,,
21,Ramechhap ,,,
22,Dolakha ,,,
23,Bhaktapur ,,,
24,Dhading ,,,
25,Kathmandu ,,,
26,Kavrepalanchok ,,,
27,Lalitpur ,,,
28,Nuwakot ,,,
29,Rasuwa ,,,
30,Sindhupalchok ,,,
31,Bara ,,,
32,Parsa ,,,
33,Rautahat ,,,
34,Chitwan ,,,
35,Makwanpur ,,,
36,Gorkha ,,,
37,Kaski ,,,
38,Lamjung ,,,
39,Syangja ,,,
40,Tanahun ,,,
41,Manang ,,,
42,Kapilvastu ,,,
43,Nawalparasi ,,,
44,Rupandehi ,,,
45,Arghakhanchi ,,,
46,Gulmi ,,,
47,Palpa ,,,
48,Baglung ,,,
49,Myagdi ,,,
50,Parbat ,,,
51,Mustang ,,,
52,Dang Deukhuri ,,,
53,Pyuthan ,,,
54,Rolpa ,,,
55,Rukum ,,,
56,Salyan ,,,
57,Dolpa ,,,
58,Humla ,,,
59,Jumla ,,,
60,Kalikot ,,,
61,Mugu ,,,
62,Banke ,,,
63,Bardiya ,,,
64,Surkhet ,,,
65,Dailekh ,,,
66,Jajarkot ,,,
67,Kailali ,,,
68,Achham ,,, 
69,Doti ,,,
70,Bajhang ,,,
71,Bajura ,,,
72,Kanchanpur ,,,
73,Dadeldhura ,,,
74,Baitadi ,,,
75,Darchula ,,,
